feature,snull
PVDATE,5.0
PB084,2.0
PB000,2.0
PB132,5.0
PB002,1.0
PB003M,5.0
PB006,1946.0
PB085,1.0
PB086,5.0
PB087,1976.0
PB014,12.0
PB015,1.0
PB016,1.0
PB017M,2.0
PB019,1.0
PB099,5.0
PB100,1.0
PB101,5.0
PB102,1.0
PB103,5.0
PB104,5.0
PB105,5.0
PB107,5.0
PB108,5.0
PB109,5.0
PB110,5.0
PB111,5.0
PB112,5.0
PB113,5.0
PB114,5.0
PB116,5.0
PB117,5.0
PB118,5.0
PB119,5.0
PB120,5.0
PB122,5.0
PB123,5.0
PB124,5.0
PB125M1M,133.0
PB127_3,16.0
PB129_3,12.0
PB127_4,6.0
PB129_4,8.0
PB127_7,14.0
PB129_7,14.0
PB127_9,96.0
PB020,3.0
PB021,5.0
PB022,5.0
PB023,5.0
PB024M,21.0
PB025,5.0
PB078,5.0
PB079,3.0
PB080,5.0
PB081,3.0
PB026,8.0
PB027,12.0
PB088,3.0
PB028,5.0
PB029M1M,7.0
PB089M1M,1.0
PB091M,2.0
PB135,2.0
PB033,2.0
PB034,2.0
PB035,5.0
PB036,1946.0
PB037,1951.0
PB038,5.0
PB096,3.0
PB097,1.0
PB039,2015.0
PB040,7.0
PB041M1,1.0
PB041M2,1.5
PB047M,5.0
PB049,5.0
PB050,1.0
PB052M,11.0
PB082,2.0
PB054,1.0
PB055,5.0
PB056,98.0
PB057,2015.0
PB058,5.0
PB059,1.0
PB060,2015.0
PB061,5.0
PB065,2.0
PB066_1,1969.0
PB067_1,6.0
PB068_1,4.0
PB070_1,2.0
PB066_2,2015.0
PB067_2,7.0
PB068_2,5.0
PB070_2,9.0
PB066_3,2015.0
PB067_3,3.0
PB063,1.0
PB076,1.0
PC001,3.0
PC002,2.0
PC005,1.0
PC006,1.0
PC010,5.0
PC285,1.0
PC214,9998.0
PC011,1.0
PC012,5.0
PC236,5.0
PC018,5.0
PC019,1.0
PC020,8.0
PC232U1,0.0
PC023,2.0
PC024,5.0
PC028,2015.0
PC029,3.0
PC030,5.0
PC031,2.0
PC032,1.0
PC033,5.0
PC034,5.0
PC036,5.0
PC037,1.0
PC038,1.0
PC039,2.0
PC257,5.0
PC258,2001.0
PC274,1.0
PC276,2008.0
PC040,5.0
PC041,1.0
PC042,1.0
PC043,2015.0
PC044,2.0
