,0
0,HHIDPN
1,HHID
2,PN
3,PSUBHH
4,PCSR
5,PFAMR
6,PFINR
7,HHIDN
8,PSUBHHN
9,PHHIDN
10,PHHID
11,RAHHIDPN
12,PNN
13,PPN_SP
14,PA500
15,PA501
16,PA061
17,PA062
18,PA063
19,PA064
20,PA002
21,PA009
22,PA215
23,PA010
24,PA103
25,PA011
26,PA012
27,PA019
28,PA219
29,PA028
30,PA065
31,PA066
32,PA068M
33,PA099
34,PA100
35,PA101
36,PA106
37,PA113
38,PVDATE
39,PVERSION
40,PB084
41,PB000
42,PB132
43,PB001
44,PB002
45,PB003M
46,PB006
47,PB007
48,PB008
49,PB085
50,PB086
51,PB087
52,PB014
53,PB015
54,PB016
55,PB017M
56,PB098
57,PB019
58,PB099
59,PB100
60,PB101
61,PB102
62,PB103
63,PB104
64,PB105
65,PB106
66,PB107
67,PB108
68,PB109
69,PB110
70,PB111
71,PB112
72,PB113
73,PB114
74,PB115
75,PB116
76,PB117
77,PB118
78,PB119
79,PB120
80,PB121M1M
81,PB121M2M
82,PB121M3M
83,PB122
84,PB123
85,PB124
86,PB125M1M
87,PB125M2M
88,PB125M3M
89,PB126
90,PB127_1
91,PB128_1
92,PB129_1
93,PB127_2
94,PB128_2
95,PB129_2
96,PB127_3
97,PB128_3
98,PB129_3
99,PB127_4
100,PB128_4
101,PB129_4
102,PB127_5
103,PB128_5
104,PB129_5
105,PB127_6
106,PB128_6
107,PB129_6
108,PB127_7
109,PB128_7
110,PB129_7
111,PB127_8
112,PB128_8
113,PB129_8
114,PB127_9
115,PB128_9
116,PB129_9
117,PB127_10
118,PB128_10
119,PB129_10
120,PB127_11
121,PB128_11
122,PB129_11
123,PB127_12
124,PB128_12
125,PB129_12
126,PB127_13
127,PB128_13
128,PB129_13
129,PB127_14
130,PB128_14
131,PB129_14
132,PB020
133,PB021
134,PB022
135,PB023
136,PB024M
137,PB025
138,PB078
139,PB079
140,PB080
141,PB081
142,PB026
143,PB027
144,PB088
145,PB028
146,PB029M1M
147,PB029M2M
148,PB089M1M
149,PB089M2M
150,PB089M3M
